2021-02-11T17:19:13+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 19

2021-02-11T17:21:12+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 19

2021-02-11T17:21:14+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 19

2021-02-11T17:23:48+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:24:14+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:24:23+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:24:50+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:24:51+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:24:54+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:24:55+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:25:14+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:25:31+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:25:32+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:25:36+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:25:37+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:25:40+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:25:41+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:27:15+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:27:18+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:27:19+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:27:22+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:27:23+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:28:16+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:29:02+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:29:03+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:29:06+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:29:07+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:29:09+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:29:10+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:29:13+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:29:14+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:29:16+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:29:16+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:29:18+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T17:29:20+00:00 CRITICAL syntax error, unexpected 'public' (T_PUBLIC), expecting end of file in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 25

2021-02-11T20:01:43+00:00 CRITICAL Uncaught Error: Call to a member function get() on null in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php:21
Stack trace:
#0 /opt/bitnami/apps/wordpress/htdocs/wp-includes/class-wp-hook.php(287): x34fg_gateway_disable_shipping()
#1 /opt/bitnami/apps/wordpress/htdocs/wp-includes/plugin.php(212): WP_Hook->apply_filters()
#2 /opt/bitnami/apps/wordpress/htdocs/wp-content/plugins/woocommerce/includes/class-wc-payment-gateways.php(160): apply_filters()
#3 /opt/bitnami/apps/wordpress/htdocs/wp-content/plugins/woocommerce/packages/woocommerce-admin/src/Notes/OnboardingPayments.php(38): WC_Payment_Gateways->get_available_payment_gateways()
#4 /opt/bitnami/apps/wordpress/htdocs/wp-content/plugins/woocommerce/packages/woocommerce-admin/src/Notes/NoteTraits.php(74): Automattic\WooCommerce\Admin\Notes\OnboardingPayments::get_note()
#5 /opt/bitnami/apps/wordpress/htdocs/wp-content/plugins/woocommerce/packages/woocommerce-admin/src/Events.php(91): Automattic\WooCommerce\Admin\Notes\Onboardi in /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/electro-child/functions.php on line 21

